,ID,Channel,Title,Duration,Release Date,Views,Likes,Comments
89,sGUpu87qrtQ,SMTOWN,NCT DREAM BOY #MARK VIDEO,00:02:49,2017-09-15 09:00:05,180595,15657,415
90,I4GxBoLA0og,NCT DREAM,NCT DREAM BOY #JENO VIDEO,00:02:23,2017-09-18 09:00:00,62967,7106,141
91,QUhenrj5U_8,SMTOWN,NCT DREAM BOY #JENO VIDEO,00:02:23,2017-09-18 09:00:02,126559,11163,325
92,8haZ_u8cydw,NCT 127,[N’-4] JOHNNY's Communication Center Ep.1,00:02:15,2017-09-18 10:00:00,103440,10737,216
93,LPTteyXoMrA,NCT DREAM,[N’-3] SO WHAT? WE HOT! WE YOUNG!,00:01:08,2017-09-18 10:00:01,115585,13301,167
94,IVINfKvheGw,NCT,[N'-2] CURE DAY,00:00:31,2017-09-18 10:00:02,73329,9719,140
95,F3B0EQTQnWI,NCT,[N'-1] CURE NIGHT,00:01:02,2017-09-18 10:00:02,104160,13730,287
96,C1Aa0lu_180,NCT 127,[N'-5] JOHNNY's Communication Center Ep.2,00:04:35,2017-09-19 10:00:00,91086,9418,216
97,AJ7Zf9HNuhE,SMTOWN,[N'-5] JOHNNY's Communication Center Ep.2,00:04:35,2017-09-19 10:00:01,192378,13627,592
98,y6IsQpxQaEc,NCT 127,[N'-6] 내 친구의 방은 어디인가 -문태일 편-,00:01:43,2017-09-20 08:00:02,79479,6862,113
99,JSiScodnVz0,SMTOWN,[N'-6] 내 친구의 방은 어디인가 -문태일 편-,00:01:43,2017-09-20 08:00:02,96192,6610,236
100,8AEmN6bcdyw,SMTOWN,NCT DREAM BOY #RENJUN VIDEO,00:02:30,2017-09-20 09:00:00,174653,18272,744
101,rnMRmhP7lmQ,NCT DREAM,NCT DREAM BOY #RENJUN VIDEO,00:02:30,2017-09-20 09:00:07,70089,9412,400
102,XC6xcEel5eQ,NCT 127,[N'-7] TAEIL's NATURAL,00:01:30,2017-09-21 10:00:02,72492,7958,137
103,5c4ukP8qSJ4,NCT DREAM,NCT DREAM BOY #HAECHAN VIDEO,00:04:47,2017-09-22 09:00:01,54366,7063,196
104,yXMQirM6TlE,NCT 127,[N’-8] SPEND A DAY WITH JAEHYUN 재현이의 하루,00:02:03,2017-09-22 10:00:04,76746,8521,139
105,E0ro0kPtyEE,NCT DREAM,NCT DREAM BOY VIDEO EP.07,00:02:56,2017-09-25 09:00:00,67403,6761,126
106,4aN1XV_0EAM,NCT DREAM,NCT DREAM BOY VIDEO EP.08,00:02:57,2017-09-27 09:00:01,61005,6097,107
107,PcCb4liZLLI,NCT DREAM,NCT DREAM BOY VIDEO EP.09,00:02:50,2017-09-29 09:00:02,71108,6564,96
108,bBl3bhCk3O0,NCT,NCT와 함께 마음이 꽉 찬 한가위 되세요!,00:01:27,2017-09-29 10:00:03,30215,4686,107
